params,cv_pr_auc,cv_roc_auc,cv_best_mcc,cv_best_balanced_accuracy,cv_best_threshold,selection_score,n_search_rows,n_search_pdb,fold_summary
"{""depth"": 6, ""learning_rate"": 0.06, ""l2_leaf_reg"": 6, ""iterations"": 350}",0.7941608792410266,0.806765418184674,0.4698380315796245,0.72203097715094,0.6300000000000001,0.7090183118525792,79998,103,"[{""fold"": 1, ""pr_auc"": 0.8199740659653543, ""roc_auc"": 0.8359619936237543}, {""fold"": 2, ""pr_auc"": 0.7895736290231655, ""roc_auc"": 0.7964207208290595}, {""fold"": 3, ""pr_auc"": 0.7737214641824106, ""roc_auc"": 0.7896274244257002}]"
"{""depth"": 7, ""learning_rate"": 0.05, ""l2_leaf_reg"": 8, ""iterations"": 500}",0.8002177182072021,0.8113073366747325,0.4769675435978648,0.7255199149964617,0.6200000000000001,0.7147077988506764,79998,103,"[{""fold"": 1, ""pr_auc"": 0.8260842161345224, ""roc_auc"": 0.8403020093694733}, {""fold"": 2, ""pr_auc"": 0.7946889088793989, ""roc_auc"": 0.8011832914795034}, {""fold"": 3, ""pr_auc"": 0.7802208794475491, ""roc_auc"": 0.7940777322695137}]"
