feature,importance
aa_motif,22.52578892831356
aa_right,15.445937236216555
aa_left,15.25110718897021
nt_motif,9.832612000009487
nt_right,8.520717445146754
nt_left,8.29364303591524
nt_center,4.23384195073489
combo,2.826238853738422
aa_center,2.319105460578057
ss_paired_frac,2.28646723242675
ss_motif,2.2691803776818924
nt_gc,1.364135556308771
aa_charge_mean,0.9874289404339484
nt_purine,0.8296997911642131
aa_entropy,0.7812809894816701
aa_hydro_mean,0.7313768857790554
aa_len,0.5525969618450254
aa_pos_frac,0.44416196942685554
nt_len,0.1717965223301122
aa_arom_frac,0.15681741948949776
nt_entropy,0.09148175746002526
nt_is_homopolymer,0.05745907343635135
aa_neg_frac,0.027124423112659963
