combo,n_rows,n_unique_nt_motifs,n_unique_aa_motifs,positive_rate_overall,mean_contact_score_overall
nt1_aa1,146576,4,20,0.4572713131754175,0.10557010363224538
nt1_aa2,188954,4,398,0.4571906389915006,0.11495735041862042
nt1_aa3,223222,4,4846,0.4569845266147602,0.12066069691607458
nt2_aa1,190422,16,20,0.45731585636113475,0.1130446815336463
nt2_aa2,241380,16,398,0.4570676940923026,0.12339843155190985
nt2_aa3,282313,16,4977,0.45707424029357485,0.12956874689440445
nt3_aa1,229002,64,20,0.45718814682841197,0.11752868744377779
nt3_aa2,286781,64,398,0.45724786509566534,0.12872080745237657
nt3_aa3,331975,64,5076,0.4588658784547029,0.13572811231267415
